stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,paradas_id,alcaldia
405e4f,N/A,Recreo.,19.39381995397841,-99.11355882883076,0,N/A,0,362,Iztacalco
40f461,N/A,Oriente 116.,19.390234881259808,-99.11256641149522,0,N/A,0,363,Iztacalco
25e227,N/A,Colegio de Bachilleres 3.,19.38626261956645,-99.11157667636871,0,N/A,0,364,Benito Juárez
2db7b5,N/A,Canal Apatlaco.,19.382867144532945,-99.1108337044716,0,N/A,0,365,Iztacalco
40f471,N/A,Apatlaco.,19.37830005600095,-99.10905517335338,0,N/A,0,366,Iztapalapa
25e233,N/A,Aculco.,19.37466562527648,-99.1078069592532,0,N/A,0,367,Iztapalapa
2db7c3,N/A,Churubusco Oriente.,19.3715996525542,-99.10773758942224,0,N/A,0,368,Iztapalapa
40f477,N/A,Ganaderos.,19.35058848387328,-99.11075660798332,0,N/A,0,369,Iztapalapa
c98d35,N/A,Preparatoria 1.,19.273366951588805,-99.12046283483508,0,N/A,0,370,Xochimilco
e9eed2,N/A,Pantitln.,19.41711665692743,-99.0741678984773,0,N/A,0,371,Venustiano Carranza
319cb7,N/A,Indios Verdes L1,19.49737143830974,-99.11921678418118,0,N/A,0,372,Gustavo A. Madero
244d59,N/A,Indios Verdes L1.,19.493863941319063,-99.1197654604912,0,N/A,0,373,Gustavo A. Madero
